Instance,k,BKS
C101,10,3865.78
C102,10,3859.01
C103,10,3855.09
C104,10,3772.94
C105,10,3865.78
C106,10,3865.78
C107,10,3865.78
C108,10,3863.35
C109,10,3857.22
C201,4,7643.65
C202,4,7640.45
C203,4,7404.43
C204,4,7257.49
C205,4,7657.47
C206,4,7620.29
C207,4,7527.96
C208,4,7521.26
