Instance,k,BKS
R101,19,4202.69
R102,17,4009.32
R103,13,4137.95
R104,9,4247.65
R105,14,4361.74
R106,12,4463.04
R107,10,3830.87
R108,9,4031.05
R109,11,3859.59
R110,10,4177.40
R111,10,4478.57
R112,9,3991.25
R201,4,15507.40
R202,3,18849.10
R203,3,10310.90
R204,2,20267.50
R205,3,16578.10
R206,3,14607.30
R207,2,12650.80
R208,2,16613.00
R209,3,14762.50
R210,3,15637.70
R211,2,12425.20
