Instance,k,BKS
RC101,14,5212.08
RC102,12,5297.68
RC103,13,5318.24
RC104,10,4830.75
RC105,13,4867.66
RC106,11,5402.45
RC107,12,5031.48
RC108,10,5173.73
RC201,4,17286.20
RC202,3,13197.70
RC203,3,15918.00
RC204,3,11823.60
RC205,4,15071.40
RC206,3,19064.00
RC207,3,15930.80
RC208,3,12952.20
